autor,publicaciones,total_citaciones,cit_promedio,max_citaciones,h_index,g_index
Claudia Vergara,17,364,21.41,118,9,17
Juan E. Brunet,19,364,19.16,49,13,19
Marcos Flores,22,363,16.5,69,10,18
Moisés Rojas-Badilla,4,363,90.75,213,3,4
Raúl Pezoa,22,363,16.5,67,11,18
Robert B. Mann,10,363,36.3,127,8,10
Alejandro Santos‐Lozano,12,362,30.17,152,8,12
Julio Coll,20,362,18.1,57,11,19
Genly Leon,7,361,51.57,162,7,7
Sergio Lavandero,4,360,90.0,276,3,4
Claudio Aguilar,31,360,11.61,46,12,18
Juliano C. Denardin,8,359,44.88,120,6,8
Carolina Marchant,19,359,18.89,127,10,18
D. Leinen,10,358,35.8,77,10,10
Sergio del Campo,14,358,25.57,136,9,14
Rômulo Pillon Barcelos,6,358,59.67,187,6,6
Jorge Olivares‐Arancibia,50,357,7.14,126,7,18
Antonio Vega‐Gálvez,10,357,35.7,99,8,10
Yulema Valero,15,356,23.73,136,8,15
Eugenio Pellicer,14,356,25.43,67,10,14
Lydia Lera,11,356,32.36,184,5,11
Giuliano Maselli Locosselli,2,355,177.5,246,2,2
Jochen Schöngart,2,355,177.5,246,2,2
Roel Brienen,2,355,177.5,246,2,2
Gregório Ceccantini,2,355,177.5,246,2,2
Ratbay Myrzakulov,5,354,70.8,108,5,5
Yunesky Masip Macía,44,354,8.05,43,10,18
Víctor Yepes,18,353,19.61,73,11,18
José D. Flores,10,353,35.3,134,7,10
J. Martínez-Mardones,27,353,13.07,35,14,18
Jean‐Yves Saillard,14,353,25.21,139,9,14
Gabriel Villavicencio,36,353,9.81,101,8,18
A. Cibinel,3,352,117.33,216,3,3
Eduardo Sáez,4,352,88.0,209,3,4
K. E. Heintz,6,350,58.33,185,6,6
René Garreaud,6,348,58.0,182,6,6
Ignacio Sepúlveda,6,348,58.0,182,5,6
Tao Wang,9,348,38.67,216,5,9
Tina Dura,9,347,38.56,107,8,9
Hazel A. Oxenford,3,346,115.33,291,3,3
Eva Rajo‐Iglesias,27,345,12.78,66,11,18
Sanjay Misra,44,345,7.84,46,10,15
R. T. Coogan,10,344,34.4,216,7,10
Martin Krššak,1,343,343.0,343,1,1
J. Sánchez,11,343,31.18,103,8,11
Álvaro Aracena,33,342,10.36,46,11,17
Gustavo González,19,340,17.89,106,11,18
Antônio García‐Hermoso,17,340,20.0,197,6,17
Ximena Díaz-Martínez,20,340,17.0,87,11,18
Mélida del Pilar Anzola-Rojas,2,339,169.5,231,2,2
Ian S. Acuña‐Rodríguez,16,339,19.94,59,10,17
